"","variety","location","farmers_eval","yield","yield_first","perc_mark_yield","mean_fruit_weight"
"1","Var. A","Castronuovo",2.23,451.575,191.185,0,4.97
"2","Var. A","Molise",3,744.005,5.5,62.165,13.94
"3","Var. A","Rotonda",3.065,3381.5,65,90.59,248.76
"4","Var. A","Sestola",2.8,966.605,131.845,26.01,19.42
"5","Var. B","Castronuovo",1.925,288.16,117.19,0,1.82
"6","Var. B","Molise",3,775.125,0,58.83,13.75
"7","Var. B","Rotonda",3.165,3648,120.875,81.99,242.945
"8","Var. B","Sestola",2.12,789.5,137.165,27.115,8.1
"9","Var. C","Castronuovo",1.655,259.265,95.39,15.535,1.98
"10","Var. C","Molise",3.145,1029.88,22.3,64.22,20.94
"11","Var. C","Rotonda",3.05,3165.29,49.875,78.565,187.885
"12","Var. C","Sestola",2.43,1001.845,177.56,33.38,11.275
"13","Var. D","Castronuovo",2.175,442.65,175.31,0,3.74
"14","Var. D","Molise",3,760.465,2.225,56.535,15.085
"15","Var. D","Rotonda",3.09,3678.375,48.25,83.44,262.13
"16","Var. D","Sestola",2.655,1285.6,250.87,23.4,22.93
"17","Var. E","Castronuovo",2.155,461.375,146,0,5.235
"18","Var. E","Molise",3.16,923.51,3.945,62.505,15.91
"19","Var. E","Rotonda",3.055,2994.125,97.25,81.63,185.405
"20","Var. E","Sestola",3,933.895,159.355,35.515,11.175
"21","Var. F","Castronuovo",2.04,422.405,156.28,0,3.995
"22","Var. F","Molise",2.825,731.125,21.625,63.105,12.02
"23","Var. F","Rotonda",3.205,3434.87,55.265,84.07,186.535
"24","Var. F","Sestola",2.5,893.395,195.03,31.695,11.435
"25","Var. G","Castronuovo",2.21,395.3,188.875,8.03,3.425
"26","Var. G","Molise",2.88,994.635,15.75,62.315,19.91
"27","Var. G","Rotonda",3.035,3205.15,108.02,85.61,208.755
"28","Var. G","Sestola",2.355,734.855,150.98,18.16,6.41
"29","Var. H","Castronuovo",1.5,206.1,92.27,0,0.99
"30","Var. H","Molise",2.855,701.825,50.52,58.99,9.705
"31","Var. H","Rotonda",2.8,2751.58,198.685,79.665,198.495
"32","Var. H","Sestola",2.285,841.005,305.9,43.115,9.845
"33","Var. I","Castronuovo",3.235,871.905,0,0,26.93
"34","Var. I","Molise",3.295,952.565,26.575,78.62,52.195
"35","Var. I","Rotonda",2.585,1454.625,50.25,61.305,122.325
"36","Var. I","Sestola",2.715,895.47,196.52,83.715,23.02
"37","Var. J","Castronuovo",2.31,614.5,318.5,0,4.995
"38","Var. J","Molise",2.785,819.86,20.25,58.555,12.69
"39","Var. J","Rotonda",3.08,2707.5,83.875,82.36,144.84
"40","Var. J","Sestola",2.07,992.105,260.16,37.96,14.15
"41","Var. K","Castronuovo",2.12,459.77,142.005,6.46,4.465
"42","Var. K","Molise",3.18,988.945,38.075,74.17,27.645
"43","Var. K","Rotonda",2.9,3456.445,210.925,75.365,293.38
"44","Var. K","Sestola",2.2,913.225,306.945,26.425,13.815
"45","Var. L","Castronuovo",2.905,408.485,75.845,0,5.465
"46","Var. L","Molise",2.945,929.885,12.875,70.645,30.89
"47","Var. L","Rotonda",2.635,2658.14,139.22,87.8,181.97
"48","Var. L","Sestola",3.015,1300.4,319.975,80.5,41.425
"49","Var. M","Castronuovo",1.595,304.38,173.005,0,1.38
"50","Var. M","Molise",2.975,942.045,28,66.205,13.44
"51","Var. M","Rotonda",2.8,2459.475,145.265,64.95,92.64
"52","Var. M","Sestola",3.2,1353.4,176.21,56.36,11.42
"53","Var. N","Castronuovo",3.55,903.235,279.345,7.535,15.69
"54","Var. N","Molise",3.265,923.125,23.375,63.505,18.29
"55","Var. N","Rotonda",3.1,3145.775,355.775,83.88,199.61
"56","Var. N","Sestola",2.56,1004.17,263.985,24.54,11.885
