location,plot,rep,row,col,variety,farmers_eval,yield,yield_first,perc_mark_yield,mean_fruit_weight
Molise,1,1,1,1,Var. A,3.24,789.25,11,57.46,17.43
Molise,2,1,2,1,Var. D,2.71,497.75,0,55.75,7.37
Molise,3,2,3,1,Var. I,3.35,821.9,24.9,76,35.54
Molise,4,2,4,1,Var. N,3.24,846.5,46.75,55.32,14.19
Molise,5,1,1,2,Var. I,3.24,1083.23,28.25,81.24,68.85
Molise,6,1,2,2,Var. H,3.06,750.49,45.25,61.33,10.1
Molise,7,2,3,2,Var. B,2.88,719,0,61.09,12.37
Molise,8,2,4,2,Var. K,3.24,1163,23.75,76.93,37.17
Molise,9,1,1,3,Var. J,2.94,854.72,0,55.8,11.66
Molise,10,1,2,3,Var. G,2.88,766.25,6,60.98,11.49
Molise,11,2,3,3,Var. F,2.94,791.25,5.75,61.42,14.27
Molise,12,2,4,3,Var. D,3.29,1023.18,4.45,57.32,22.8
Molise,13,1,1,4,Var. C,3,1004.11,4.6,61.06,18.23
Molise,14,1,2,4,Var. M,3.24,906.84,0,64.39,12.34
Molise,15,2,3,4,Var. E,2.94,830.79,7.89,59.55,12.06
Molise,16,2,4,4,Var. L,3.18,953.52,0,71.63,35.17
Molise,17,1,1,5,Var. L,2.71,906.25,25.75,69.66,26.61
Molise,18,1,2,5,Var. B,3.12,831.25,0,56.57,15.13
Molise,19,2,3,5,Var. A,2.76,698.76,0,66.87,10.45
Molise,20,2,4,5,Var. M,2.71,977.25,56,68.02,14.54
Molise,21,1,1,6,Var. F,2.71,671,37.5,64.79,9.77
Molise,22,1,2,6,Var. N,3.29,999.75,0,71.69,22.39
Molise,23,2,3,6,Var. C,3.29,1055.65,40,67.38,23.65
Molise,24,2,4,6,Var. H,2.65,653.16,55.79,56.65,9.31
Molise,25,1,1,7,Var. K,3.12,814.89,52.4,71.41,18.12
Molise,26,1,2,7,Var. E,3.38,1016.23,0,65.46,19.76
Molise,27,2,3,7,Var. G,2.88,1223.02,25.5,63.65,28.33
Molise,28,2,4,7,Var. J,2.63,785,40.5,61.31,13.72
Rotonda,1,1,1,1,Var. D,2.97,3907.75,59.5,82.79,282.14
Rotonda,2,1,2,1,Var. B,2.93,3679,131.25,79.21,243.55
Rotonda,3,2,3,1,Var. M,3,2618.95,176.58,64.72,104
Rotonda,4,2,4,1,Var. C,2.97,3115.58,69,69.26,183.51
Rotonda,5,1,1,2,Var. H,2.66,2474.74,201.05,77.36,239.33
Rotonda,6,1,2,2,Var. E,3.18,3199.25,119.75,77.16,203.47
Rotonda,7,2,3,2,Var. G,3.23,3695,80.79,86.03,222.55
Rotonda,8,2,4,2,Var. B,3.4,3617,110.5,84.77,242.34
Rotonda,9,1,1,3,Var. F,3.34,3607.63,0,79.6,200.15
Rotonda,10,1,2,3,Var. K,3,3550.26,191.32,76.09,306.92
Rotonda,11,2,3,3,Var. N,3.07,3619.8,437.3,83.84,251.21
Rotonda,12,2,4,3,Var. A,3.13,3447.75,56.5,92.6,264.79
Rotonda,13,1,1,4,Var. L,2.53,2670.28,64.44,87.26,169.19
Rotonda,14,1,2,4,Var. J,3.29,2660.75,108,79.71,127.18
Rotonda,15,2,3,4,Var. F,3.07,3262.11,110.53,88.54,172.92
Rotonda,16,2,4,4,Var. I,2.65,1587.5,47,64.85,141.29
Rotonda,17,1,1,5,Var. C,3.13,3215,30.75,87.87,192.26
Rotonda,18,1,2,5,Var. N,3.13,2671.75,274.25,83.92,148.01
Rotonda,19,2,3,5,Var. E,2.93,2789,74.75,86.1,167.34
Rotonda,20,2,4,5,Var. L,2.74,2646,214,88.34,194.75
Rotonda,21,1,1,6,Var. G,2.84,2715.3,135.25,85.19,194.96
Rotonda,22,1,2,6,Var. I,2.52,1321.75,53.5,57.76,103.36
Rotonda,23,2,3,6,Var. D,3.21,3449,37,84.09,242.12
Rotonda,24,2,4,6,Var. K,2.8,3362.63,230.53,74.64,279.84
Rotonda,25,1,1,7,Var. A,3,3315.25,73.5,88.58,232.73
Rotonda,26,1,2,7,Var. M,2.6,2300,113.95,65.18,81.28
Rotonda,27,2,3,7,Var. J,2.87,2754.25,59.75,85.01,162.5
Rotonda,28,2,4,7,Var. H,2.94,3028.42,196.32,81.97,157.66
Castronuovo,1,1,1,1,Var. A,2.15,424.47,184.21,0,4.76
Castronuovo,2,1,2,1,Var. E,2.08,482.25,170,0,5.98
Castronuovo,3,2,3,1,Var. D,2.35,469.47,168.68,0,4.64
Castronuovo,4,2,4,1,Var. F,2.58,623.06,245.56,0,6.62
Castronuovo,5,1,1,2,Var. D,2,415.83,181.94,0,2.84
Castronuovo,6,1,2,2,Var. J,2.27,509.75,246.5,0,4.38
Castronuovo,7,2,3,2,Var. K,2.12,478.24,131.76,5.84,3.9
Castronuovo,8,2,4,2,Var. G,2.62,515.6,205.25,5.24,5.36
Castronuovo,9,1,1,3,Var. B,2.04,315,108.33,0,2.15
