location,genotype,repetition,farmers_eval,plant_number,total_harvest,perc_mark_fruits,mean_fruit_weight
Molise,Molise Random,1,3.235294118,20,15.785,57.45961356,0.01742664
Molise,Sestola Random,1,2.705882353,20,9.955,55.75087896,0.0073667
Molise,Local Molise,2,3.352941176,20,16.438,76.00073002,0.035538956
Molise,Modern F1 Hybrid,2,3.235294118,20,16.93,55.31600709,0.01418734
Molise,Local Molise,1,3.235294118,20,21.66457177,81.23664736,0.068850009
Molise,Sestola Farmer Selection,1,3.058823529,20,15.00973214,61.3268772,0.01010155
Molise,Rotonda Random,2,2.882352941,20,14.38,61.09179416,0.0123668
Molise,Local Castronovo,2,3.235294118,20,23.26,76.93465176,0.03716948
Molise,Local Rotonda,1,2.9375,18,15.385,55.80110497,0.01166183
Molise,Castronuovo Farmer Selection,1,2.882352941,20,15.325,60.97879282,0.01149375
Molise,Rotonda Farmer Selection,2,2.9375,20,15.825,61.42180095,0.01427415
Molise,Sestola Random,2,3.294117647,20,20.463575,57.31647574,0.022796423
Molise,Castronuovo Random,1,3,20,20.08227007,61.06017909,0.018234701
Molise,Modern Open Pollinated,1,3.235294118,19,17.23,64.39349971,0.01233668
Molise,Molise Farmer Selection,2,2.941176471,19,15.785,59.55020589,0.01205974
Molise,Local Sestola,2,3.176470588,20,19.07035135,71.62951405,0.035165728
Molise,Local Sestola,1,2.705882353,20,18.125,69.65517241,0.0266075
Molise,Rotonda Random,1,NA,20,16.625,56.57142857,0.01512875
Molise,Molise Random,2,2.764705882,20,13.97517647,66.86856527,0.010453432
Molise,Modern Open Pollinated,2,2.705882353,20,19.545,68.02251215,0.01454148
Molise,Rotonda Farmer Selection,1,2.705882353,20,13.42,64.79135618,0.00976976
Molise,Modern F1 Hybrid,1,3.294117647,20,19.995,71.69292323,0.0223944
Molise,Castronuovo Random,2,3.294117647,20,21.113,67.37555061,0.02364656
Molise,Sestola Farmer Selection,2,2.647058824,19,12.41,56.64786463,0.0093075
